date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:28	224/224	---MCZ	200	added ('OK')	text/plain	date:Thu,%2011%20Feb%202021%2006:00:27%20GMT	https://www.anjali-khanna.in/robots.txt		(from )
11:30:29	27956/27956	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:28%20GMT	https://www.anjali-khanna.in/	/home/faisal/Desktop/anjali/www.anjali-khanna.in/index.html	(from )
11:30:30	212960/212960	---M--	200	added ('OK')	text/css	date:Tue,%2022%20Dec%202020%2015:50:48%20GMT	https://www.anjali-khanna.in/wp-content/cache/autoptimize/css/autoptimize_8e693adc52537362fc174dd08abbc210.css	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-content/cache/autoptimize/css/autoptimize_8e693adc52537362fc174dd08abbc210.css	(from https://www.anjali-khanna.in/)
11:30:31	12855/12855	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Feb%202021%2006:00:30%20GMT	https://www.anjali-khanna.in/wp-json/wp/v2/pages/2	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-json/wp/v2/pages/2.json	(from https://www.anjali-khanna.in/)
11:30:32	153022/153022	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Feb%202021%2006:00:31%20GMT	https://www.anjali-khanna.in/wp-json/	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-json/index.html	(from https://www.anjali-khanna.in/)
11:30:33	834/834	---MCZ	200	added ('OK')	text/xml	date:Thu,%2011%20Feb%202021%2006:00:32%20GMT	https://www.anjali-khanna.in/xmlrpc.php?rsd	/home/faisal/Desktop/anjali/www.anjali-khanna.in/xmlrpc0db0.php	(from https://www.anjali-khanna.in/)
11:30:33	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://www.anjali-khanna.in/wp-includes/wlwmanifest.xml	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-includes/wlwmanifest.xml	(from https://www.anjali-khanna.in/)
11:30:35	2489/2489	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Feb%202021%2006:00:34%20GMT	https://www.anjali-khanna.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.anjali-khanna.in%2F	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-json/oembed/1.0/embedda37.json	(from https://www.anjali-khanna.in/)
11:30:36	2595/2595	---MCZ	200	added ('OK')	text/xml	date:Thu,%2011%20Feb%202021%2006:00:35%20GMT	https://www.anjali-khanna.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.anjali-khanna.in%2F&format=xml	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-json/oembed/1.0/embed5cdd	(from https://www.anjali-khanna.in/)
11:30:36	717/717	---M--	200	added ('OK')	image/png	date:Mon,%2021%20Aug%202017%2003:39:00%20GMT	https://www.anjali-khanna.in/wp-content/uploads/2017/08/favicon.png	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-content/uploads/2017/08/favicon.png	(from https://www.anjali-khanna.in/)
11:30:38	171113/171113	---M--	200	added ('OK')	application/javascript	date:Thu,%2004%20Feb%202021%2002:03:55%20GMT	https://www.anjali-khanna.in/wp-content/cache/autoptimize/js/autoptimize_1d931d01caaeba675e4af861a24027f2.js	/home/faisal/Desktop/anjali/www.anjali-khanna.in/wp-content/cache/autoptimize/js/autoptimize_1d931d01caaeba675e4af861a24027f2.js	(from https://www.anjali-khanna.in/)
11:30:39	9295/9295	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:38%20GMT	https://www.anjali-khanna.in/about-us	/home/faisal/Desktop/anjali/www.anjali-khanna.in/about-us.html	(from https://www.anjali-khanna.in/)
11:30:40	8520/8520	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:39%20GMT	https://www.anjali-khanna.in/our-services	/home/faisal/Desktop/anjali/www.anjali-khanna.in/our-services.html	(from https://www.anjali-khanna.in/)
11:30:41	14031/14031	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:40%20GMT	https://www.anjali-khanna.in/escorts-gallery	/home/faisal/Desktop/anjali/www.anjali-khanna.in/escorts-gallery.html	(from https://www.anjali-khanna.in/)
11:30:42	8945/8945	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:41%20GMT	https://www.anjali-khanna.in/rate	/home/faisal/Desktop/anjali/www.anjali-khanna.in/rate.html	(from https://www.anjali-khanna.in/)
11:30:43	16927/16927	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:42%20GMT	https://www.anjali-khanna.in/hotels	/home/faisal/Desktop/anjali/www.anjali-khanna.in/hotels.html	(from https://www.anjali-khanna.in/)
11:30:44	22165/22165	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:43%20GMT	https://www.anjali-khanna.in/blogs	/home/faisal/Desktop/anjali/www.anjali-khanna.in/blogs.html	(from https://www.anjali-khanna.in/)
11:30:44	8843/8843	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Feb%202021%2006:00:44%20GMT	https://www.anjali-khanna.in/contact-us	/home/faisal/Desktop/anjali/www.anjali-khanna.in/contact-us.html	(from https://www.anjali-khanna.in/)
